"question_code","Dffclt","Dscrmn","chapter","test_id","correctness_per","updated_date"
"3480490",0.10239316,0.892654789,"ENGLISH LANGUAGE",82308,3236,NA
"3480491",1.091787724,0.782090128,"ENGLISH LANGUAGE",82308,2152,NA
"3480492",1.565175704,0.821021702,"ENGLISH LANGUAGE",82308,1643,NA
"3480493",1.330732079,1.343222894,"ENGLISH LANGUAGE",82308,1375,NA
"3480494",2.826939839,0.739864554,"ENGLISH LANGUAGE",82308,875,NA
"3480495",0.815746186,1.661120604,"ENGLISH LANGUAGE",82308,1910,NA
"3480496",3.701080854,0.417179309,"ENGLISH LANGUAGE",82308,1238,NA
"3480497",3.148638785,0.469361354,"ENGLISH LANGUAGE",82308,1318,NA
"3480498",-0.453811173,0.667745156,"ENGLISH LANGUAGE",82308,3828,NA
"3480499",10.00045689,0.239289647,"ENGLISH LANGUAGE",82308,576,NA
"3480500",7.972269219,0.074559765,"ENGLISH LANGUAGE",82308,2396,NA
"3480501",-0.971469431,0.494121574,"ENGLISH LANGUAGE",82308,4119,NA
"3480502",3.838696688,0.549049062,"ENGLISH LANGUAGE",82308,805,NA
"3480503",15.18808386,0.08388967,"ENGLISH LANGUAGE",82308,1474,NA
"3480504",1.811147862,0.595249452,"ENGLISH LANGUAGE",82308,1809,NA
"3480505",0.458586842,1.201606174,"ENGLISH LANGUAGE",82308,2654,NA
"3480506",0.304208546,0.75486172,"ENGLISH LANGUAGE",82308,3025,NA
"3480507",0.298185989,1.084584459,"ENGLISH LANGUAGE",82308,2930,NA
"3480508",0.826288125,0.947379785,"ENGLISH LANGUAGE",82308,2293,NA
"3480509",-0.572513987,0.901755219,"ENGLISH LANGUAGE",82308,4098,NA
"3480510",0.507882124,1.283305459,"ENGLISH LANGUAGE",82308,2548,NA
"3480511",10.45865446,0.175184092,"ENGLISH LANGUAGE",82308,938,NA
"3480512",-0.20964223,0.940865966,"ENGLISH LANGUAGE",82308,3647,NA
"3480513",1.671492546,0.5823107,"ENGLISH LANGUAGE",82308,1938,NA
"3480514",6.523048785,0.310131993,"ENGLISH LANGUAGE",82308,812,NA
"3480515",-2.522661498,1.08133101,"ENGLISH LANGUAGE",82308,6117,NA
"3480516",-1.744027243,0.750680409,"ENGLISH LANGUAGE",82308,5144,NA
"3480517",-1.142648304,0.688289541,"ENGLISH LANGUAGE",82308,4519,NA
"3480518",1.844147066,0.442041955,"ENGLISH LANGUAGE",82308,2116,NA
"3480519",-2.584223209,0.336175858,"ENGLISH LANGUAGE",82308,4713,NA
"3480490",0.102393159912778,0.892654788570121,"ENGLISH LANGUAGE",82308,3236,"03/19/2021"
"3480491",1.09178772409996,0.782090127941197,"ENGLISH LANGUAGE",82308,2152,"03/19/2021"
"3480492",1.56517570438797,0.82102170171267,"ENGLISH LANGUAGE",82308,1643,"03/19/2021"
"3480493",1.3307320790708,1.34322289408943,"ENGLISH LANGUAGE",82308,1375,"03/19/2021"
"3480494",2.82693983914674,0.739864554196943,"ENGLISH LANGUAGE",82308,875,"03/19/2021"
"3480495",0.815746186136689,1.66112060403988,"ENGLISH LANGUAGE",82308,1910,"03/19/2021"
"3480496",3.70108085447424,0.41717930899992,"ENGLISH LANGUAGE",82308,1238,"03/19/2021"
"3480497",3.14863878494831,0.469361354368877,"ENGLISH LANGUAGE",82308,1318,"03/19/2021"
"3480498",-0.453811172837164,0.667745156185165,"ENGLISH LANGUAGE",82308,3828,"03/19/2021"
"3480499",10.0004568874997,0.239289646787412,"ENGLISH LANGUAGE",82308,576,"03/19/2021"
"3480500",7.97226921863436,0.0745597646342575,"ENGLISH LANGUAGE",82308,2396,"03/19/2021"
"3480501",-0.971469431328706,0.494121574243261,"ENGLISH LANGUAGE",82308,4119,"03/19/2021"
"3480502",3.83869668848678,0.549049062294202,"ENGLISH LANGUAGE",82308,805,"03/19/2021"
"3480503",15.1880838605227,0.0838896702709797,"ENGLISH LANGUAGE",82308,1474,"03/19/2021"
"3480504",1.81114786200136,0.595249451786848,"ENGLISH LANGUAGE",82308,1809,"03/19/2021"
"3480505",0.458586842036688,1.20160617374839,"ENGLISH LANGUAGE",82308,2654,"03/19/2021"
"3480506",0.304208546117779,0.75486171957999,"ENGLISH LANGUAGE",82308,3025,"03/19/2021"
"3480507",0.29818598930626,1.08458445870998,"ENGLISH LANGUAGE",82308,2930,"03/19/2021"
"3480508",0.826288125434668,0.947379785343597,"ENGLISH LANGUAGE",82308,2293,"03/19/2021"
"3480509",-0.572513986773225,0.90175521936784,"ENGLISH LANGUAGE",82308,4098,"03/19/2021"
